features,freq,normalized_freq
is used to support the breasts,7.0,0.004132
used for tinkering,7.0,0.004132
also used as a toy,7.0,0.004132
is worn on your hands,7.0,0.004132
is worn at night,7.0,0.004132
is worn every day,7.0,0.004132
used to announce something,7.0,0.004132
requires much practise,7.0,0.004132
have a sole,7.0,0.004132
has a trailer,7.0,0.004132
has baking trays,7.0,0.004132
has matching gloves,7.0,0.004132
has a cooker hood,7.0,0.004132
has a little door,7.0,0.004132
has great power,7.0,0.004132
has a kitchen,7.0,0.004132
has a looking window,7.0,0.004132
has a clock,7.0,0.004132
has a metal head,7.0,0.004132
has a periscope,7.0,0.004132
has a turtleneck,7.0,0.004132
has a plug,7.0,0.004132
has gone through a technological revolution,7.0,0.004132
has a timer,7.0,0.004132
has no roof,7.0,0.004132
has no taste,7.0,0.004132
has canonballs,7.0,0.004132
has an oven most of the time,7.0,0.004132
has a sliding door,7.0,0.004132
has tuning forks,7.0,0.004132
has drums,7.0,0.004132
has two legs,7.0,0.004132
has two sleeves,7.0,0.004132
looks tough,7.0,0.004132
is deep,7.0,0.004132
is a sort of violin,7.0,0.004132
is a lorry,7.0,0.004132
is efficient,7.0,0.004132
is painted,7.0,0.004132
is dangerous for the fingers,7.0,0.004132
is big or small,7.0,0.004132
is environmentally friendly,7.0,0.004132
is fashionable,7.0,0.004132
is a constellation,7.0,0.004132
is synthetic,7.0,0.004132
you can get sick on it,7.0,0.004132
you ride it on the cycle path,7.0,0.004132
you can see it in the sea,7.0,0.004132
can be thick or thin,7.0,0.004132
can burn something (in cooking),7.0,0.004132
can be played on,7.0,0.004132
can be plunked upon,7.0,0.004132
comes in different prints,7.0,0.004132
leaves wood shavings,7.0,0.004132
lies left to plate,7.0,0.004132
makes a peeping sound,7.0,0.004132
makes old bread tasteful again,7.0,0.004132
uses kerosine,7.0,0.004132
leaves from airport,7.0,0.004132
driven by a truck driver,7.0,0.004132
used by doctors,7.0,0.004132
used as a dose measure,7.0,0.004132
used by handymen,7.0,0.004132
used by Robin Hood,7.0,0.004132
used by painters,7.0,0.004132
used in folk music,7.0,0.004132
used in games,7.0,0.004132
used to eat corn flakes,7.0,0.004132
used for school,7.0,0.004132
is used in combination with other instruments,7.0,0.004132
worn by a boxer,7.0,0.004132
worn by business people,7.0,0.004132
placed under a plate,7.0,0.004132
often used in blues music,7.0,0.004132
especially used by boys,7.0,0.004132
is trown away,7.0,0.004132
a synonym is 'schuiftrompet',6.0,0.002755
exists in different materials,6.0,0.002755
the driver wears leather clothes,6.0,0.002755
is knit by your grandma,6.0,0.002755
used to smeer bread,6.0,0.002755
to empty a cook pot,6.0,0.002755
is used to fill up holes,6.0,0.002755
used to cut hair,6.0,0.002755
used to cook good food in,6.0,0.002755
used to make sand castles,6.0,0.002755
can be found around your fingers,6.0,0.002755
you wear it in your shoes,6.0,0.002755
is worn on the upper part of your body,6.0,0.002755
is worn around the shoulders,6.0,0.002755
is worn by cowboys,6.0,0.002755
there is a lot of space in it,6.0,0.002755
used in the sandbox,6.0,0.002755
used together with knife,6.0,0.002755
used in the Middle Ages,6.0,0.002755
worn by the elderly,6.0,0.002755
gives a recoil,6.0,0.002755
ribbed,6.0,0.002755
checkered,6.0,0.002755
slides on snow,6.0,0.002755
don't have openings between fingers,6.0,0.002755
has automatic doors,6.0,0.002755
has tires,6.0,0.002755
has ribbons,6.0,0.002755
has suspenders,6.0,0.002755
has a keyboard,6.0,0.002755
has a metal blade,6.0,0.002755
has a helm,6.0,0.002755
has short (trousers)legs,6.0,0.002755
has a grillfunction,6.0,0.002755
has a propellor,6.0,0.002755
has straps,6.0,0.002755
has stinking fumes,6.0,0.002755
has to do with walls,6.0,0.002755
has different positions,6.0,0.002755
has sandbags,6.0,0.002755
has a clear sound,6.0,0.002755
is busy,6.0,0.002755
is derived from a  verb,6.0,0.002755
is trimmed with lace,6.0,0.002755
is agressive,6.0,0.002755
can be played upon,6.0,0.002755
is a machine,6.0,0.002755
is half a circle,6.0,0.002755
are underpants,6.0,0.002755
is part of the turtle,6.0,0.002755
is a board on wheels,6.0,0.002755
is a verhicle on water,6.0,0.002755
is a television programme,6.0,0.002755
is a safety belt for in a car,6.0,0.002755
is popular in the Netherlands,6.0,0.002755
is dangerous in traffic,6.0,0.002755
is healthy,6.0,0.002755
is hollow,6.0,0.002755
is illegal,6.0,0.002755
is long and narrow,6.0,0.002755
is lingerie,6.0,0.002755
is airy,6.0,0.002755
is popular,6.0,0.002755
is invented in England,6.0,0.002755
is of American origin,6.0,0.002755
is greasy,6.0,0.002755
is for 1 person,6.0,0.002755
is for fun,6.0,0.002755
is fairly unknown,6.0,0.002755
you can bust things with it,6.0,0.002755
you can tie a knot in it,6.0,0.002755
you can play songs on it,6.0,0.002755
you can repair with it,6.0,0.002755
you have to push with 1 foot to get ahead,6.0,0.002755
you have to stand up,6.0,0.002755
can be acoustic,6.0,0.002755
can be used as a heater,6.0,0.002755
can have a container,6.0,0.002755
can slide,6.0,0.002755
can be something at a door,6.0,0.002755
you can sift flour with it,6.0,0.002755
you can eat desserts with it,6.0,0.002755
can be used to hang up something,6.0,0.002755
can be turned,6.0,0.002755
can be luxurious,6.0,0.002755
used to cut paper,6.0,0.002755
comes in different brands and models,6.0,0.002755
ressembles a train,6.0,0.002755
makes a bass noise,6.0,0.002755
produces a hole in the wall,6.0,0.002755
produces an irritating noise,6.0,0.002755
makes peacefull music,6.0,0.002755
you have to place it to your lips,6.0,0.002755
one has to put ground coffeebeans in it,6.0,0.002755
also called crowbar,6.0,0.002755
mirrors,6.0,0.002755
has a spike at its base,6.0,0.002755
invented by Adolphe Sax,6.0,0.002755
was used in early ages,6.0,0.002755
was worn especially in the past,6.0,0.002755
works with a hinge,6.0,0.002755
works with a shove system,6.0,0.002755
driven by a coachman,6.0,0.002755
driven by an engine driver,6.0,0.002755
lived in by gipsies,6.0,0.002755
used as decoration,6.0,0.002755
used for manicure,6.0,0.002755
used by boys,6.0,0.002755
